amr2
"# ::id 0
# ::annotator indoamrbart-mbart-fted
# ::snt ""Mengacu padanya hanya sebagai """"saksi"""", Amrozi menuduh saudaranya dengan sengaja mendistorsi buktinya.""
(z0 / menu
    :ARG0 (z2 / orang
              :wiki -
              :name (z3 / nama
                        :op1 ""Amrozi""))
    :ARG1 (z4 / orang
              :ARG0-of (z5 / memiliki-peran-rel-91
                           :ARG1 (z6 / dia)
                           :ARG2 (z7 / saudara)))
    :ARG2 (z8 / sengaja-01
              :ARG0 z4
              :ARG1 (z9 / mendistorsi-01
                        :ARG0 z4
                        :ARG1 (z10 / bukti
                                   :mod (z11 / itu))))
    :manner (z12 / hanya))"
"# ::id 1
# ::annotator indoamrbart-mbart-fted
# ::snt Yucaipa membeli Dominick pada tahun 1995 dengan harga $ 693 juta dan menjualnya ke Safeway seharga $ 1,8 miliar pada tahun 1998.
(z0 / dan
    :op1 (z1 / beli-01
             :ARG0 (z2 / orang
                       :wiki -
                       :name (z3 / nama
                                 :op1 ""Yu""
                                 :op2 ""Yu""))
             :ARG1 (z4 / produk
                       :wiki -
                       :name (z5 / nama
                                 :op1 ""Safeway""))
             :time (z6 / entitas-tanggal)
             :manner (z7 / harga-01
                         :ARG2 (z8 / kuantitas-moneter
                                   :unit (z9 / dolar))))
    :op2 (z10 / menjual-01
              :ARG0 z2
              :ARG1 z4
              :manner (z11 / seharga-01
                           :ARG1 z4
                           :ARG2 (z12 / kuantitas-moneter
                                      :unit (z13 / dolar)))
              :time (z14 / entitas-tanggal)))"
"# ::id 2
# ::annotator indoamrbart-mbart-fted
# ::snt Pada 10 Juni, pemilik kapal telah menerbitkan iklan di internet, menawarkan bahan peledak untuk dijual.
(z0 / dan
    :op1 (z1 / buat-01
             :ARG0 (z2 / orang
                       :ARG0-of (z3 / sendiri-01
                                    :ARG1 (z4 / kapal)))
             :ARG1 (z5 / iklan
                       :location (z6 / internet)))
    :op2 (z7 / menawarkan-01
             :ARG0 z2
             :ARG1 (z8 / bahan
                       :mod (z9 / peledak)
                       :ARG1-of (z10 / dijual-01)))
    :time (z11 / entitas-tanggal))"
